,
Flower,4.429804011993358
Bird,6.8244323617529
Lions,5.585219436491174
Rhino,5.270770117477915
Queen,6.548231516435301
Crab,4.347068773475182
Ship,4.682326905465783
Para,4.094460085432523
Sail,5.452865379301783
Fish,4.483381515256054
Tree,10.299211680916523
Ocean,5.431202858726646
Lung,7.273399075182967
Bear,7.700396440505019
TV,9.936116145638131
Sun,7.370335736349673
Taichi,9.262485973040137
Wave,6.067736284356761
Astro,6.973192901898844
Whale,10.088455304371074
Bagua-T,16.550697406307133
Lotus-T,13.499052188975751
Lion-T,20.168173899239413
Panda-T,16.747873883491263
Cloud-T,17.351994115620975
Bagua-R,11.757245918667246
Lotus-R,10.556436489684465
Lion-R,15.556916120573124
Panda-R,13.799052043851729
Cloud-R,13.31545988522823
