,
imgs_T1R20,5.342107145251782
imgs_T1R36,5.02812815224877
imgs_T1R60,5.02184172491178
imgs_T1R100,5.301432426687958
imgs_T1R180,4.929394945086464
imgs_T1R320,5.492170724263116
imgs_T1R600,5.90529332002172
imgs_T1R1200,5.663202078944127
imgs_T1R3000,5.916855062308461
imgs_T4R20,4.556217915114861
imgs_T4R36,4.360374999486414
imgs_T4R60,4.559604254009599
imgs_T4R100,4.663406849813945
imgs_T4R180,4.353579197036002
imgs_T4R320,4.837425986935988
imgs_T4R600,5.453581678077622
imgs_T4R1200,5.690950416794788
imgs_T4R3000,5.895504884835341
imgs_T8R20,3.4552801113156595
imgs_T8R36,3.2110862117330154
imgs_T8R60,3.471296595215615
imgs_T8R100,3.383814123177979
imgs_T8R180,3.267133501032508
imgs_T8R320,3.6874427137479753
imgs_T8R600,4.1102193430163565
imgs_T8R1200,4.206730192281173
imgs_T8R3000,4.008147251327935
imgs_T16R20,5.373211568848386
imgs_T16R36,4.429915926449835
imgs_T16R60,4.134041800496548
imgs_T16R100,4.596075872726996
imgs_T16R180,3.675010915347873
imgs_T16R320,4.006208760602412
imgs_T16R600,4.6090206085520675
imgs_T16R1200,5.540117210485695
imgs_T16R3000,6.221019997116547
imgs_T32R20,6.407793133379816
imgs_T32R36,5.865050959901624
imgs_T32R60,5.951413872298381
imgs_T32R100,6.14777334080116
imgs_T32R180,6.545249869324259
imgs_T32R320,6.975549050608537
imgs_T32R600,8.978667183838057
imgs_T32R1200,10.357453897073482
imgs_T32R3000,10.925668008659608
imgs_T64R20,11.967363702853875
imgs_T64R36,8.741871638431412
imgs_T64R60,9.553637654634793
imgs_T64R100,8.04218886899026
imgs_T64R180,7.663493663022702
imgs_T64R320,8.170473881059095
imgs_T64R600,12.816099629113575
imgs_T64R1200,16.278264921156882
imgs_T64R3000,17.56474893889132
